iter	Passed	Remaining
0	6	3578
1	12	3287
2	22	3816
3	30	3919
4	40	4190
5	50	4378
6	55	4116
7	61	3929
8	66	3797
9	73	3775
10	79	3675
11	85	3642
12	91	3585
13	97	3539
14	102	3462
15	107	3410
16	114	3411
17	120	3360
18	125	3330
19	131	3304
20	136	3264
21	143	3252
22	148	3232
23	153	3193
24	158	3157
25	164	3136
26	169	3109
27	175	3097
28	182	3100
29	189	3104
30	195	3098
31	201	3078
32	206	3067
33	213	3064
34	218	3044
35	225	3037
36	230	3022
37	235	3004
38	241	2996
39	248	2988
40	253	2972
41	258	2956
42	264	2946
43	270	2934
44	275	2919
45	281	2918
46	289	2921
47	294	2906
48	299	2889
49	304	2874
50	310	2868
51	316	2864
52	324	2875
53	331	2869
54	338	2872
55	344	2866
56	349	2852
57	354	2839
58	360	2831
59	366	2818
60	371	2810
61	377	2801
62	382	2789
63	389	2786
64	394	2776
65	400	2766
66	406	2757
67	412	2754
68	420	2757
69	426	2751
70	431	2741
71	437	2736
72	443	2730
73	449	2719
74	454	2707
75	459	2698
76	465	2692
77	471	2681
78	476	2672
79	482	2665
80	488	2660
81	493	2649
82	498	2639
83	504	2630
84	510	2625
85	516	2616
86	523	2616
87	529	2609
88	535	2604
89	542	2603
90	548	2595
91	553	2585
92	558	2576
93	563	2566
94	570	2564
95	576	2557
96	582	2550
97	587	2540
98	593	2537
99	599	2529
100	604	2518
101	610	2512
102	615	2505
103	622	2503
104	627	2492
105	633	2486
106	639	2481
107	645	2473
108	650	2464
109	655	2456
110	661	2448
111	667	2442
112	672	2435
113	678	2427
114	683	2418
115	688	2410
116	695	2406
117	700	2397
118	706	2392
119	711	2383
120	718	2380
121	724	2376
122	731	2371
123	737	2366
124	742	2358
125	748	2351
126	753	2343
127	758	2335
128	764	2329
129	770	2322
130	775	2313
131	780	2307
132	786	2301
133	792	2293
134	798	2289
135	804	2283
136	809	2275
137	814	2266
138	821	2262
139	827	2256
140	832	2249
141	838	2244
142	843	2236
143	849	2229
144	854	2222
145	860	2216
146	866	2210
147	871	2202
148	877	2196
149	882	2188
150	887	2181
151	893	2174
152	898	2166
153	905	2164
154	911	2158
155	917	2151
156	925	2152
157	930	2144
158	937	2140
159	943	2133
160	948	2126
161	954	2120
162	961	2118
163	967	2111
164	972	2103
165	979	2101
166	985	2094
167	990	2087
168	996	2080
169	1002	2074
170	1009	2072
171	1015	2065
172	1020	2059
173	1027	2055
174	1033	2049
175	1041	2046
176	1046	2039
177	1051	2032
178	1059	2029
179	1064	2023
180	1070	2015
181	1076	2010
182	1082	2004
183	1087	1998
184	1093	1991
185	1099	1986
186	1104	1979
187	1112	1976
188	1118	1970
189	1126	1968
190	1132	1962
191	1138	1957
192	1144	1951
193	1150	1945
194	1156	1939
195	1161	1932
196	1167	1926
197	1173	1920
198	1178	1912
199	1187	1911
200	1195	1909
201	1201	1902
202	1208	1899
203	1215	1895
204	1222	1890
205	1229	1885
206	1234	1878
207	1240	1872
208	1245	1865
209	1251	1858
210	1256	1852
211	1262	1845
212	1267	1838
213	1273	1832
214	1278	1825
215	1283	1818
216	1289	1812
217	1295	1805
218	1300	1799
219	1307	1794
220	1313	1789
221	1319	1783
222	1326	1777
223	1332	1772
224	1338	1766
225	1344	1760
226	1350	1755
227	1356	1749
228	1363	1744
229	1369	1738
230	1374	1731
231	1379	1724
232	1385	1718
233	1413	1739
234	1424	1739
235	1436	1740
236	1446	1739
237	1457	1739
238	1466	1737
239	1476	1734
240	1486	1732
241	1498	1733
242	1509	1732
243	1517	1729
244	1528	1727
245	1537	1725
246	1546	1721
247	1552	1714
248	1558	1709
249	1563	1701
250	1569	1694
251	1574	1687
252	1579	1679
253	1585	1672
254	1590	1665
255	1596	1658
256	1601	1651
257	1607	1645
258	1614	1639
259	1619	1632
260	1625	1625
261	1630	1617
262	1635	1610
263	1643	1605
264	1649	1599
265	1654	1592
266	1659	1585
267	1665	1578
268	1670	1571
269	1676	1564
270	1682	1558
271	1687	1551
272	1692	1544
273	1699	1538
274	1705	1532
275	1711	1525
276	1717	1519
277	1723	1512
278	1728	1505
279	1733	1498
280	1738	1491
281	1746	1486
282	1751	1479
283	1757	1472
284	1763	1466
285	1768	1459
286	1773	1452
287	1778	1445
288	1783	1438
289	1789	1431
290	1794	1424
291	1799	1417
292	1806	1411
293	1813	1406
294	1819	1399
295	1824	1392
296	1830	1386
297	1836	1380
298	1841	1373
299	1848	1367
300	1854	1361
301	1863	1357
302	1868	1350
303	1873	1343
304	1878	1336
305	1884	1330
306	1889	1323
307	1895	1317
308	1902	1311
309	1907	1304
310	1914	1298
311	1920	1292
312	1925	1285
313	1930	1278
314	1935	1271
315	1941	1265
316	1947	1259
317	1953	1253
318	1959	1247
319	1966	1241
320	1972	1234
321	1978	1228
322	1984	1222
323	1989	1216
324	2003	1214
325	2008	1207
326	2015	1201
327	2021	1195
328	2027	1189
329	2033	1183
330	2038	1176
331	2045	1170
332	2052	1164
333	2057	1158
334	2062	1151
335	2067	1144
336	2073	1138
337	2078	1131
338	2085	1125
339	2091	1119
340	2096	1112
341	2102	1106
342	2108	1100
343	2113	1093
344	2118	1086
345	2125	1080
346	2130	1074
347	2135	1067
348	2141	1061
349	2146	1054
350	2153	1048
351	2159	1042
352	2164	1036
353	2170	1030
354	2176	1023
355	2182	1017
356	2187	1010
357	2193	1004
358	2198	998
359	2204	992
360	2209	985
361	2216	979
362	2222	973
363	2227	966
364	2233	960
365	2239	954
366	2245	948
367	2250	941
368	2257	935
369	2262	929
370	2267	922
371	2273	916
372	2279	910
373	2284	903
374	2289	897
375	2296	891
376	2302	885
377	2308	879
378	2314	873
379	2319	866
380	2325	860
381	2331	854
382	2337	848
383	2342	841
384	2348	835
385	2355	829
386	2360	823
387	2366	817
388	2371	810
389	2377	804
390	2382	798
391	2388	792
392	2396	786
393	2402	780
394	2406	773
395	2412	767
396	2418	761
397	2427	756
398	2433	750
399	2438	743
400	2444	737
401	2450	731
402	2456	725
403	2461	719
404	2467	712
405	2472	706
406	2477	700
407	2483	693
408	2488	687
409	2495	681
410	2501	675
411	2506	669
412	2512	663
413	2517	656
414	2522	650
415	2529	644
416	2535	638
417	2542	632
418	2547	626
419	2553	620
420	2560	614
421	2566	608
422	2571	601
423	2576	595
424	2581	589
425	2586	582
426	2593	576
427	2599	570
428	2605	564
429	2610	558
430	2615	552
431	2620	545
432	2627	540
433	2633	533
434	2639	527
435	2644	521
436	2649	515
437	2655	509
438	2661	503
439	2666	496
440	2672	490
441	2676	484
442	2682	478
443	2689	472
444	2695	466
445	2700	460
446	2706	454
447	2711	447
448	2717	441
449	2722	435
450	2729	429
451	2733	423
452	2739	417
453	2745	411
454	2751	405
455	2756	398
456	2763	393
457	2768	386
458	2774	380
459	2779	374
460	2785	368
461	2791	362
462	2797	356
463	2803	350
464	2808	344
465	2814	338
466	2820	332
467	2825	326
468	2832	320
469	2837	313
470	2843	307
471	2848	301
472	2853	295
473	2859	289
474	2864	283
475	2870	277
476	2875	271
477	2881	265
478	2888	259
479	2893	253
480	2899	247
481	2905	241
482	2910	235
483	2916	228
484	2921	222
485	2927	216
486	2934	210
487	2941	204
488	2945	198
489	2951	192
490	2956	186
491	2962	180
492	2968	174
493	2973	168
494	2979	162
495	2986	156
496	2992	150
497	3001	144
498	3012	138
499	3026	133
500	3032	127
501	3038	121
502	3044	114
503	3050	108
504	3055	102
505	3060	96
506	3067	90
507	3073	84
508	3078	78
509	3085	72
510	3091	66
511	3097	60
512	3102	54
513	3108	48
514	3114	42
515	3119	36
516	3125	30
517	3131	24
518	3136	18
519	3142	12
520	3147	6
521	3152	0
