iter	Logloss
0	0.6532172795
1	0.6193609144
2	0.5879791507
3	0.5641750176
4	0.541237626
5	0.5187995839
6	0.4987973368
7	0.4834307925
8	0.4688569967
9	0.4565400408
10	0.4460534283
11	0.4348082814
12	0.4263059262
13	0.4178205033
14	0.40907721
15	0.4027485043
16	0.395700267
17	0.3900050704
18	0.3847063391
19	0.3803228691
20	0.3764306505
21	0.3715087086
22	0.3681814725
23	0.3642067241
24	0.3610157345
25	0.3579607688
26	0.354982967
27	0.3520699907
28	0.3495357226
29	0.346582754
30	0.3442162001
31	0.3417683988
32	0.3401679885
33	0.3387519534
34	0.3364865229
35	0.3344979229
36	0.3328219757
37	0.3309980462
38	0.3296366298
39	0.3278859611
40	0.3262175085
41	0.324970355
42	0.3237724748
43	0.3226719444
44	0.3215253243
45	0.3200367337
46	0.3185334506
47	0.3172882167
48	0.3162006569
49	0.3151680447
50	0.3142399181
51	0.3130575187
52	0.3117718899
53	0.3106552461
54	0.3097921444
55	0.3090213883
56	0.3077663059
57	0.3070038188
58	0.3061385339
59	0.3053277772
60	0.3045033651
61	0.303439897
62	0.3024343365
63	0.3013911027
64	0.300840387
65	0.2999760147
66	0.2991903314
67	0.2985061885
68	0.2978366189
69	0.2970302639
70	0.296147811
71	0.2952407467
72	0.2943733332
73	0.2937980204
74	0.2932313717
75	0.292756414
76	0.2920599328
77	0.2911493681
78	0.2905301225
79	0.2901054838
80	0.2896036801
81	0.2890154268
82	0.2883848234
83	0.2878635619
84	0.2872456004
85	0.2867020067
86	0.2860647437
87	0.2853625276
88	0.2849343134
89	0.2843017017
90	0.2836122267
91	0.2830650367
92	0.282491582
93	0.2820381526
94	0.2814959496
95	0.2810458107
96	0.2802392115
97	0.2798393241
98	0.2793074567
99	0.2787669803
100	0.2783851047
101	0.2779986029
102	0.2775736924
103	0.2770485561
104	0.2767725737
105	0.2764366802
106	0.2758446405
107	0.2752600256
108	0.2747160446
109	0.2741047048
110	0.2735986807
111	0.2729547565
112	0.2724290992
113	0.2720948312
114	0.2716336825
115	0.2712569185
116	0.2707523688
117	0.2704396921
118	0.2699091661
119	0.2694473823
120	0.2690074335
121	0.2686608248
122	0.2683505108
123	0.2680058715
124	0.2675397845
125	0.2670256549
126	0.2665897152
127	0.2661179605
128	0.2656736713
129	0.2651519965
130	0.2648067754
131	0.264401574
