iter	Passed	Remaining
0	10	6218
1	20	6061
2	29	5898
3	37	5594
4	46	5512
5	54	5348
6	61	5197
7	68	5065
8	75	4956
9	84	4947
10	92	4916
11	99	4853
12	107	4829
13	114	4759
14	120	4700
15	128	4665
16	135	4647
17	143	4607
18	150	4584
19	157	4563
20	165	4541
21	172	4508
22	182	4555
23	202	4845
24	225	5172
25	240	5297
26	249	5271
27	256	5224
28	263	5173
29	271	5132
30	278	5094
31	286	5060
32	293	5031
33	301	5006
34	308	4963
35	315	4919
36	322	4890
37	330	4867
38	337	4839
39	344	4807
40	352	4782
41	360	4776
42	368	4750
43	376	4734
44	382	4700
45	389	4677
46	399	4681
47	407	4663
48	414	4641
49	421	4624
50	429	4609
51	436	4588
52	444	4569
53	452	4553
54	459	4535
55	465	4508
56	472	4484
57	480	4469
58	488	4459
59	496	4449
60	503	4435
61	511	4421
62	519	4408
63	525	4385
64	532	4363
65	539	4349
66	547	4337
67	554	4325
68	562	4310
69	569	4298
70	577	4285
71	584	4266
72	590	4249
73	598	4237
74	606	4228
75	613	4215
76	621	4202
77	628	4191
78	636	4181
79	643	4167
80	650	4153
81	657	4139
82	664	4125
83	672	4113
84	679	4102
85	687	4090
86	696	4089
87	703	4077
88	711	4069
89	719	4060
90	726	4048
91	734	4038
92	741	4026
93	749	4016
94	757	4008
95	764	3995
96	770	3980
97	777	3967
98	784	3956
99	792	3945
100	800	3937
101	807	3928
102	815	3919
103	823	3909
104	830	3898
105	837	3887
106	845	3880
107	852	3867
108	859	3857
109	867	3847
110	874	3837
111	882	3828
112	889	3819
113	897	3809
114	904	3800
115	912	3792
116	920	3784
117	927	3774
118	935	3764
119	942	3754
120	950	3745
121	957	3736
122	967	3737
123	975	3727
124	982	3719
125	990	3710
126	998	3701
127	1005	3692
128	1013	3686
129	1023	3683
130	1032	3682
131	1040	3673
132	1048	3666
133	1056	3656
134	1064	3650
135	1072	3642
136	1079	3630
137	1085	3619
138	1093	3610
139	1101	3602
140	1108	3594
141	1116	3586
142	1124	3578
143	1132	3571
144	1141	3565
145	1149	3557
146	1155	3545
147	1162	3535
148	1171	3528
149	1178	3519
150	1185	3510
151	1194	3505
152	1202	3498
153	1210	3489
154	1218	3481
155	1225	3473
156	1232	3463
157	1240	3454
158	1248	3446
159	1255	3437
160	1262	3425
161	1268	3415
162	1276	3405
163	1283	3397
164	1291	3388
165	1299	3381
166	1306	3372
167	1314	3363
168	1321	3355
169	1329	3346
170	1336	3336
171	1343	3327
172	1351	3319
173	1359	3312
174	1366	3303
175	1374	3295
176	1382	3287
177	1389	3278
178	1396	3269
179	1403	3260
180	1411	3251
181	1417	3241
