index,target
0,0.17755198
1,0.6024928
2,0.19907585
3,0.18791066
4,0.6698977
5,0.17884415
6,0.6567965
7,0.32426333
8,0.19118446
9,0.58859044
10,0.17724782
11,0.1741854
12,0.19873337
13,0.35351712
14,0.3890862
15,0.31801578
16,0.22115304
17,0.6673768
18,0.565589
19,0.6427997
20,0.21122988
21,0.5825678
22,0.6587332
23,0.23619394
24,0.6577113
25,0.18010454
26,0.17462583
27,0.17501847
28,0.19126952
29,0.17439292
30,0.19742708
31,0.17460437
32,0.17573844
33,0.35917076
34,0.21776532
35,0.25736132
36,0.62934875
37,0.17649993
38,0.2056642
39,0.24228472
40,0.32622266
41,0.64551
42,0.17475611
43,0.39239573
44,0.61282593
45,0.18643948
46,0.5695136
47,0.20861518
48,0.4988098
49,0.23650911
50,0.22676879
51,0.17563324
52,0.26878828
53,0.17936292
54,0.27266815
55,0.17724246
56,0.20709611
57,0.64852697
58,0.18336278
59,0.5335712
60,0.38202578
61,0.17444485
62,0.61922944
63,0.5926102
64,0.2174316
65,0.17646663
66,0.2008696
67,0.6612101
68,0.6630259
69,0.3121633
70,0.21095559
71,0.3784134
72,0.22181338
73,0.22343227
74,0.22937764
75,0.17991176
76,0.17476864
77,0.17524078
78,0.18020907
79,0.6221692
80,0.24880716
81,0.27134192
82,0.23482719
83,0.2150232
84,0.38749564
85,0.39988506
86,0.48616016
87,0.18448967
88,0.3079483
89,0.1740291
90,0.55879897
91,0.19039136
92,0.20219932
93,0.220929
94,0.20427951
95,0.48265028
96,0.41765898
97,0.19851309
98,0.65962535
99,0.27011684
100,0.17533746
101,0.20594665
102,0.18788615
103,0.24862012
104,0.34287617
105,0.20957756
106,0.63593024
107,0.54908776
108,0.27889723
109,0.33219835
110,0.6342225
111,0.21129616
112,0.24250512
113,0.17998537
114,0.1775138
115,0.31048274
116,0.66336626
117,0.31789398
118,0.38237965
119,0.6677091
120,0.6607386
121,0.17455101
122,0.37482947
123,0.21706672
124,0.22377741
125,0.23603459
126,0.1829101
127,0.24105552
128,0.20335378
129,0.22938307
130,0.1758455
131,0.20543051
132,0.66081405
133,0.20793153
134,0.6614407
135,0.64079976
136,0.66577214
137,0.6529291
138,0.61683446
139,0.22803625
140,0.18399179
141,0.3299405
142,0.17944494
143,0.199558
144,0.17437425
145,0.6606948
146,0.5467644
147,0.6518188
148,0.66022635
149,0.18576077
150,0.5183904
151,0.22711822
152,0.2061983
153,0.17708758
154,0.19817226
155,0.19265126
156,0.42277992
157,0.54421175
158,0.20668933
159,0.2048927
160,0.17573808
161,0.4626544
162,0.18474318
163,0.53245836
164,0.20010978
165,0.1903877
166,0.2231814
167,0.17979434
168,0.66214013
169,0.17519635
170,0.17903624
171,0.19217944
172,0.23933977
173,0.64112824
174,0.17422396
175,0.17414527
176,0.66050935
177,0.66462404
178,0.17463008
179,0.63171834
180,0.23282832
181,0.18514328
182,0.53725106
183,0.23257223
184,0.6327032
185,0.21073017
186,0.48767638
187,0.17427564
188,0.24047439
189,0.18101875
190,0.18535866
191,0.6192703
192,0.2154478
193,0.21474864
194,0.28748214
195,0.66363484
196,0.20024656
197,0.6632908
198,0.25470227
199,0.3643297
200,0.23976028
201,0.19043331
202,0.6591134
203,0.17393234
204,0.18606183
205,0.17516837
206,0.2214465
207,0.63137263
208,0.18821262
209,0.6718163
210,0.22441296
211,0.17483263
212,0.33121902
213,0.17546952
214,0.21754031
215,0.27880958
216,0.20496319
217,0.40167278
218,0.61172515
219,0.4034698
220,0.3641646
221,0.22124882
222,0.17842482
223,0.18089558
224,0.3007735
225,0.666596
226,0.6414502
227,0.18070215
228,0.56897485
229,0.17454104
230,0.1943326
231,0.66584307
232,0.2844543
233,0.18572876
234,0.22494277
235,0.21528597
236,0.30591136
237,0.45367372
238,0.19152673
239,0.66338706
240,0.18920875
241,0.18495029
242,0.2232626
243,0.28246903
244,0.61770254
245,0.24249354
246,0.19069979
247,0.17649524
248,0.46669936
249,0.6711325
250,0.24459603
251,0.20547137
252,0.21015137
253,0.2130117
254,0.19343854
255,0.24437574
256,0.3707602
257,0.58208215
258,0.1784573
259,0.1847769
260,0.2617694
261,0.22295772
262,0.67051834
263,0.6504361
264,0.17471309
265,0.21078816
266,0.58863705
267,0.22877401
268,0.17566709
269,0.17431422
270,0.45376235
271,0.43147522
272,0.19573747
273,0.19074498
274,0.67041177
275,0.6710269
276,0.26216263
277,0.18272552
278,0.17716001
279,0.2135492
280,0.65725416
281,0.6604744
282,0.65790594
283,0.17724812
284,0.2210938
285,0.22158536
286,0.18911248
287,0.17526822
288,0.66955453
289,0.382254
290,0.2061585
291,0.66036713
292,0.63323045
293,0.6640591
294,0.17461462
295,0.23595512
296,0.25119886
297,0.2122531
298,0.17542416
299,0.668605
300,0.2528996
301,0.623749
302,0.61007965
303,0.19548143
304,0.4717927
305,0.58136326
306,0.2472171
307,0.19277008
308,0.317097
309,0.51829404
310,0.6622079
311,0.20101655
312,0.43005317
313,0.17548575
314,0.3620689
315,0.18904915
316,0.6579353
317,0.18125404
318,0.17495002
319,0.41997123
320,0.2653238
321,0.19393218
322,0.17337932
323,0.18324327
324,0.2505675
325,0.60083455
326,0.20966542
327,0.54497516
328,0.17864613
329,0.17935096
330,0.4569822
331,0.18745524
332,0.27155432
333,0.20759748
334,0.33667043
335,0.20606558
336,0.20668261
337,0.6629214
338,0.17777102
339,0.17740408
340,0.18131214
341,0.66088563
342,0.62047035
343,0.27768588
344,0.19168654
345,0.6595899
346,0.38591608
347,0.27698392
348,0.17445321
349,0.36024043
350,0.66795623
351,0.18465541
352,0.19215852
353,0.21799588
354,0.19958192
355,0.21718895
356,0.65599245
357,0.18708462
358,0.6556908
359,0.261395
360,0.21660545
361,0.54804355
362,0.17641796
363,0.21290101
364,0.17534891
365,0.52006304
366,0.19927138
367,0.33666712
368,0.43809283
369,0.61592895
370,0.5704084
371,0.6100638
372,0.18646304
373,0.2414126
374,0.186406
375,0.56779945
376,0.33055085
377,0.19146475
378,0.17674802
379,0.17668314
380,0.18648481
381,0.2099716
382,0.63242424
383,0.20071913
384,0.25180295
385,0.25078613
386,0.18887994
387,0.42348152
388,0.21795891
389,0.19947053
390,0.5969903
391,0.18988372
392,0.18300323
393,0.55124944
394,0.6653223
395,0.5612153
396,0.6563404
397,0.43106985
398,0.22699502
399,0.17405835
400,0.21390171
401,0.17487493
402,0.17683573
403,0.27704498
404,0.17650735
405,0.18648484
406,0.66493213
407,0.5165751
408,0.19231379
409,0.24598843
410,0.23086083
411,0.6052869
412,0.22961272
413,0.40171427
414,0.22049555
415,0.17780213
416,0.6508913
417,0.3727759
418,0.20636615
419,0.66222
420,0.19601762
421,0.17439644
422,0.18247393
423,0.5456007
424,0.634813
425,0.17602235
426,0.251538
427,0.17531872
428,0.6598228
429,0.67069405
430,0.6697509
431,0.2358857
432,0.31394896
433,0.17972976
434,0.53480804
435,0.18268175
436,0.6632186
437,0.1996162
438,0.19721384
439,0.66725254
440,0.5048774
441,0.20795721
442,0.23688701
443,0.17839484
444,0.26696637
445,0.19112326
446,0.6671383
447,0.26215076
448,0.18260655
449,0.31627232
450,0.18892056
451,0.5176029
452,0.6449326
453,0.2658834
454,0.22073966
455,0.60214865
456,0.5884241
457,0.19242537
458,0.3175106
459,0.4956628
460,0.27760968
461,0.512053
462,0.33163065
463,0.65138954
464,0.1951853
465,0.6597829
466,0.6668961
467,0.17567709
468,0.58230525
469,0.66258883
470,0.2560068
471,0.36079383
472,0.65509254
473,0.17933811
474,0.18525948
475,0.17856434
476,0.17988178
477,0.21462964
478,0.22470662
479,0.5533765
480,0.1766726
481,0.66662467
482,0.2529925
483,0.6603349
484,0.6484392
485,0.1889004
486,0.19237313
487,0.20154433
488,0.17596768
489,0.18200256
490,0.20082913
491,0.18262483
492,0.17390183
493,0.19861433
494,0.39725274
495,0.21722072
496,0.18292736
497,0.46552354
498,0.27471736
499,0.21383402
500,0.6619179
501,0.226825
502,0.23154715
503,0.2942037
504,0.53962433
505,0.24319103
506,0.18069212
507,0.65619576
508,0.47660995
509,0.188747
510,0.18407421
511,0.5019421
512,0.1768978
513,0.65773386
514,0.66580844
515,0.6494372
516,0.6589745
517,0.3254342
518,0.2233038
519,0.2146823
520,0.4152012
521,0.21462499
522,0.64925987
523,0.5093344
524,0.22287463
525,0.6359843
526,0.2948439
527,0.17564669
528,0.37776417
529,0.6665244
530,0.17645814
531,0.17513956
532,0.18801883
533,0.1755076
534,0.17534754
535,0.21097648
536,0.21478423
537,0.62452817
538,0.20601553
539,0.6465197
540,0.3502087
541,0.19611791
542,0.1746657
543,0.39653432
544,0.6434776
545,0.1831379
546,0.45086008
547,0.17616928
548,0.19805618
549,0.19799322
550,0.66703475
551,0.563355
552,0.34653383
553,0.18268591
554,0.21134254
555,0.6543118
556,0.18502589
557,0.22828814
558,0.5608879
559,0.1784597
560,0.21315947
561,0.30068713
562,0.6705858
563,0.43371022
