index,target
0,0.1692213
1,0.6063383
2,0.18855497
3,0.19587399
4,0.6671313
5,0.16945772
6,0.6542334
7,0.21588174
8,0.1715773
9,0.6291364
10,0.17110237
11,0.1697487
12,0.20889638
13,0.46238533
14,0.34933746
15,0.40334353
16,0.23892054
17,0.6598084
18,0.5761708
19,0.65779257
20,0.21647859
21,0.5759772
22,0.6582117
23,0.2419945
24,0.6588104
25,0.17100982
26,0.16882583
27,0.1697103
28,0.181938
29,0.16850819
30,0.17724459
31,0.1695447
32,0.16993985
33,0.29005945
34,0.20234334
35,0.24982943
36,0.6266563
37,0.17020808
38,0.19171625
39,0.2497859
40,0.23008247
41,0.6523002
42,0.16999465
43,0.4110731
44,0.6123587
45,0.18255201
46,0.5603368
47,0.18750651
48,0.3988192
49,0.22152749
50,0.20540531
51,0.170989
52,0.2461785
53,0.17094119
54,0.22755754
55,0.17494532
56,0.18824573
57,0.6512577
58,0.17748478
59,0.5458065
60,0.29021716
61,0.16916679
62,0.6171737
63,0.56030846
64,0.2499609
65,0.16929655
66,0.18559337
67,0.6563288
68,0.66175866
69,0.29706544
70,0.20284301
71,0.35173988
72,0.20103955
73,0.20979305
74,0.24057682
75,0.17563139
76,0.16879255
77,0.16897768
78,0.17525893
79,0.61016583
80,0.29032746
81,0.39581975
82,0.2594744
83,0.2228196
84,0.30981374
85,0.42101884
86,0.50396883
87,0.1769059
88,0.303303
89,0.1687405
90,0.55572474
91,0.17902906
92,0.20393923
93,0.2009896
94,0.2154826
95,0.5783787
96,0.47289523
97,0.18093903
98,0.6560327
99,0.30401257
100,0.16993569
101,0.21174541
102,0.1859229
103,0.23960617
104,0.37936333
105,0.19680369
106,0.61828935
107,0.5097862
108,0.23694953
109,0.24427962
110,0.6374208
111,0.17731243
112,0.22093411
113,0.17060597
114,0.17018649
115,0.27337307
116,0.6594419
117,0.2990787
118,0.3600187
119,0.6664338
120,0.65541244
121,0.16858019
122,0.29454976
123,0.20809433
124,0.26363215
125,0.19039434
126,0.1734115
127,0.24840003
128,0.1832989
129,0.24803641
130,0.1692234
131,0.19269411
132,0.6635195
133,0.20984076
134,0.6588179
135,0.63109237
136,0.65924346
137,0.64967847
138,0.6016027
139,0.21292946
140,0.17268847
141,0.31004703
142,0.1755388
143,0.18957332
144,0.16849849
145,0.6566366
146,0.57007426
147,0.6502893
148,0.6606215
149,0.18879761
150,0.5410383
151,0.20583954
152,0.20769727
153,0.17021088
154,0.1878064
155,0.18680228
156,0.4212473
157,0.5510092
158,0.22954907
159,0.18655664
160,0.17002083
161,0.40835673
162,0.18940707
163,0.47327793
164,0.21186003
165,0.18100765
166,0.22498274
167,0.17498551
168,0.6570368
169,0.17226052
170,0.17220871
171,0.1856967
172,0.21913886
173,0.63114655
174,0.16899411
175,0.16922633
176,0.6551083
177,0.6613962
178,0.1689037
179,0.6145376
180,0.22452344
181,0.1772955
182,0.5363965
183,0.21996881
184,0.6411258
185,0.19215417
186,0.5413556
187,0.16969733
188,0.28752345
189,0.17125955
190,0.17239691
191,0.63413095
192,0.19270372
193,0.18512611
194,0.22782886
195,0.6578512
196,0.19102009
197,0.6569028
198,0.20061979
199,0.3872351
200,0.25003603
201,0.18535353
202,0.6491556
203,0.1691751
204,0.17724468
205,0.16981502
206,0.20931736
207,0.6124435
208,0.22419973
209,0.667546
210,0.21477078
211,0.1698822
212,0.27685452
213,0.16886526
214,0.18071984
215,0.30030346
216,0.21563606
217,0.44777092
218,0.59735847
219,0.5956053
220,0.27627373
221,0.18090197
222,0.17058891
223,0.17699242
224,0.32969135
225,0.66371876
226,0.6211333
227,0.17112778
228,0.58947766
229,0.16954917
230,0.18543792
231,0.6621121
232,0.2846864
233,0.17480221
234,0.25558925
235,0.2120305
236,0.34458894
237,0.49661916
238,0.19855241
239,0.66347194
240,0.18947567
241,0.17801674
242,0.2916321
243,0.43621078
244,0.62845635
245,0.21702762
246,0.21576253
247,0.16989025
248,0.44478065
249,0.6674975
250,0.22847994
251,0.18750213
252,0.20402744
253,0.21283787
254,0.17838946
255,0.26090965
256,0.40119007
257,0.5259249
258,0.16966072
259,0.17217462
260,0.25173122
