index,target
0,0
1,1
2,0
3,0
4,1
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,1
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,1
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,1
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,1
135,1
136,1
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,0
163,1
164,0
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,1
178,0
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,1
196,0
197,1
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,1
227,0
228,1
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,1
263,1
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,0
280,1
281,1
282,1
283,0
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,1
302,1
303,0
304,1
305,1
306,0
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,1
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,1
343,0
344,0
345,1
346,1
347,0
348,0
349,0
350,1
351,0
352,0
353,0
354,0
355,0
356,1
357,0
358,1
359,0
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,0
382,1
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,1
394,1
395,1
396,1
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,1
407,0
408,0
409,0
410,0
411,1
412,0
413,1
414,0
415,0
416,1
417,0
418,0
419,1
420,0
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,1
429,1
430,1
431,0
432,0
433,0
434,1
435,0
436,1
437,0
438,0
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,0
449,0
450,0
451,0
452,1
453,0
454,0
455,1
456,1
457,0
458,0
459,1
460,0
461,1
462,0
463,1
464,0
465,1
466,1
467,0
468,1
469,1
470,0
471,0
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,1
482,0
483,1
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,0
503,0
504,1
505,0
506,0
507,1
508,1
509,0
510,0
511,1
512,0
513,1
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,1
523,1
524,0
525,1
526,0
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,0
544,1
545,0
546,0
547,0
548,0
549,0
550,1
551,1
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,1
564,0
565,1
566,0
567,0
568,1
569,0
570,0
571,0
572,1
573,0
574,1
575,0
576,1
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,1
600,0
601,0
602,0
603,0
604,1
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,1
626,1
627,1
628,0
629,1
630,0
631,0
632,1
633,1
634,0
635,1
636,0
637,0
638,0
639,1
640,0
641,1
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,1
652,1
653,0
654,0
655,0
656,0
657,1
658,1
659,0
660,0
661,0
662,0
663,0
664,1
665,0
666,0
667,1
668,0
669,1
670,0
671,1
672,0
673,0
674,1
675,0
676,0
677,1
678,0
679,1
680,0
681,0
682,1
683,0
684,0
685,0
686,0
687,0
688,1
689,0
690,1
691,0
692,0
693,1
694,0
695,1
696,0
697,0
698,1
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,1
713,0
714,1
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,1
724,1
725,1
726,0
727,1
728,0
729,0
730,0
731,0
732,1
733,1
734,0
735,0
736,1
737,0
738,0
739,0
740,1
741,1
742,0
743,0
744,0
745,0
746,1
747,1
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,1
763,0
764,0
765,1
766,0
767,1
768,0
769,0
770,0
771,0
772,1
773,0
774,0
775,1
776,1
777,0
778,1
779,1
780,0
781,0
782,0
783,0
784,0
785,1
786,1
787,0
788,1
789,0
790,1
791,0
792,0
793,0
794,1
795,0
796,0
797,0
798,1
799,0
800,0
801,1
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,1
813,0
814,1
815,0
816,1
817,1
818,1
819,0
820,1
821,1
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,1
830,1
831,0
832,1
833,1
834,1
835,0
836,0
837,0
838,0
839,1
840,0
841,0
842,0
843,0
844,0
845,1
846,1
847,0
848,0
849,1
850,0
851,1
852,0
853,0
854,1
855,0
856,1
857,1
858,0
859,1
860,0
861,1
862,0
863,1
864,0
865,0
866,1
867,0
868,0
869,1
870,0
871,1
872,0
873,0
874,1
875,1
876,0
877,0
878,0
879,1
880,0
881,0
882,1
883,0
884,0
885,1
886,0
887,1
888,0
889,0
890,0
891,1
892,0
893,0
894,0
895,0
896,1
897,0
898,0
899,1
900,0
901,0
902,0
903,1
904,0
905,1
906,0
907,0
908,1
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,1
918,0
919,1
920,0
921,0
922,0
923,1
924,1
925,1
926,0
927,0
928,0
929,1
930,0
931,0
932,1
933,0
934,0
935,0
936,1
937,0
938,0
939,0
940,0
941,1
942,1
943,1
944,1
945,0
946,0
947,0
948,0
949,0
950,1
951,0
952,0
953,0
954,0
955,1
956,1
957,0
958,0
959,1
960,0
961,1
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,1
973,0
974,1
975,0
976,0
977,1
978,0
979,1
980,1
981,1
982,1
983,0
984,1
985,0
986,1
987,0
988,0
989,1
990,1
991,0
992,0
993,0
994,0
995,1
996,0
997,0
998,0
999,1
1000,1
1001,1
1002,0
1003,0
1004,0
1005,1
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,1
1019,0
1020,0
1021,1
1022,0
1023,1
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,0
1047,0
1048,1
1049,1
1050,0
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,0
